code,name,market
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,11
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,11
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,11
149A,シンカ,3
150A,ＪＳＨ,3
1514,住石ホールディングス,2
1515,日鉄鉱業,1
1518,三井松島ホールディングス,1
151A,ダイブ,3
153A,カウリス,3
1540,純金上場信託（現物国内保管型）,11
1541,純プラチナ上場信託（現物国内保管型）,11
1542,純銀上場信託（現物国内保管型）,11
1543,純パラジウム上場信託（現物国内保管型）,11
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,11
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,11
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,11
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,11
1551,東証スタンダードＴＯＰ２０ＥＴＦ,11
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,11
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,11
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,11
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,11
155A,情報戦略テクノロジー,3
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,11
1563,東証グロース・コアＥＴＦ,11
1566,上場インデックスファンド新興国債券,11
1568,ＴＯＰＩＸブル２倍上場投信,11
1569,ＴＯＰＩＸベア上場投信,11
156A,マテリアルグループ,3
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,11
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,11
1572,中国Ｈ株ブル２倍上場投信,11
1573,中国Ｈ株ベア上場投信,11
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,11
1578,上場インデックスファンド日経２２５（ミニ）,11
1579,日経平均ブル２倍上場投信,11
157A,グリーンモンスター,3
1580,日経平均ベア上場投信,11
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,11
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,11
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,11
1592,上場インデックスファンドＪＰＸ日経インデックス４００,11
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,11
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,11
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,11
1597,ＭＡＸＩＳ　Ｊリート上場投信,11
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,11
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,11
1605,ＩＮＰＥＸ,1
160A,アズパートナーズ,2
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,11
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,11
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,11
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,11
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,11
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,11
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,11
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,11
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,11
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,11
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,11
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,11
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,11
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,11
162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,11
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,11
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,11
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,11
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,11
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,11
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,11
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,11
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,11
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,11
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,11
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,11
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,11
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,11
1659,ｉシェアーズ　米国リート　ＥＴＦ,11
165A,ＳＢＩレオスひふみ,3
1660,ＭＡＸＩＳ高利回りＪリート上場投信,11
1662,石油資源開発,1
1663,Ｋ＆Ｏエナジーグループ,1
166A,タスキホールディングス,3
1671,ＷＴＩ原油価格連動型上場投信,11
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,11
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,11
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,11
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,11
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,11
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,11
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,11
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,11
167A,リョーサン菱洋ホールディングス,1
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,11
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,11
